book_copies_BookID,book_copies_BranchID,book_copies_No_Of_Copies
1,1,5
2,1,5
3,1,5
4,1,5
5,1,5
6,1,5
7,1,5
8,1,5
9,1,5
10,1,5
11,1,5
12,1,5
13,1,5
14,1,5
15,1,5
16,1,5
17,1,5
18,1,5
19,1,5
20,1,5
1,2,5
2,2,5
3,2,5
4,2,5
5,2,5
6,2,5
7,2,5
8,2,5
9,2,5
10,2,5
11,2,5
12,2,5
13,2,5
14,2,5
15,2,5
16,2,5
17,2,5
18,2,5
19,2,5
20,2,5
1,3,5
2,3,5
3,3,5
4,3,5
5,3,5
6,3,5
7,3,5
8,3,5
9,3,5
10,3,5
11,3,5
12,3,5
13,3,5
14,3,5
15,3,5
16,3,5
17,3,5
18,3,5
19,3,5
20,3,5
1,4,5
2,4,5
3,4,5
4,4,5
5,4,5
6,4,5
7,4,5
8,4,5
9,4,5
10,4,5
11,4,5
12,4,5
13,4,5
14,4,5
15,4,5
16,4,5
17,4,5
18,4,5
19,4,5
20,4,5